year,real_gdp_growth_pct,selic_rate_pct,ipca_inflation_pct,gross_investment_pct_gdp,gov_spending_pct_gdp,m2_growth_pct,debt_pct_gdp,real_rate_pct,nx_pct_gdp,mpc,tax_rate_pct
2015,-3.5,14.25,10.67,17.8,20.8,-3.2,65.5,3.58,1.8,0.7,32.5
2016,-3.3,13.75,6.29,15.6,20.1,1.4,69.9,7.46,1.9,0.69,32.2
2017,1.3,7,2.95,15.1,19.6,4.1,74,4.05,2.1,0.71,32.3
2018,1.8,6.5,3.75,15.4,19.3,5.8,76.5,2.75,2.3,0.71,32.8
2019,1.2,4.5,4.31,15.2,19.5,8.6,75.8,0.19,1.9,0.72,32.9
2020,-4.1,2,4.52,16.4,24.3,24.3,88.8,-2.52,1.2,0.65,31
2021,4.8,9.25,10.06,18.3,20.7,13.2,80.3,-0.81,2,0.72,32.5
2022,3,13.75,9.28,18.8,19.8,6.1,73.5,4.47,2.3,0.7,33.2
2023,2.9,11.75,4.59,17.2,19.2,5.3,74.4,7.16,2.4,0.72,33
2024,3.4,12.25,4.83,17.5,19.5,7.1,87.3,7.42,2.4,0.72,33
